ID,Deputados,Órgãos,Votações
3183,"72553, 73454, 73490, 73783, 74136, 74298, 74357, 74466, 74592, 74673, 74790, 74841",526050,Nenhuma votação
3184,"73487, 73490, 73777, 74084, 74136, 74357, 74364, 74592, 74797",526050,Nenhuma votação
10315,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10316,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10317,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10318,"73475, 73532, 73888, 73896, 74404",180,Nenhuma votação
10319,"73475, 73487, 73532, 73888, 73896, 74404, 74646",180,Nenhuma votação
10320,"73475, 73487, 73532, 73888, 73896, 74404, 74646",180,Nenhuma votação
10321,"73475, 73487, 73888, 73896, 74404, 74646",180,Nenhuma votação
10322,"73475, 73487, 73532, 73888, 73896, 74199, 74404, 74646",180,Nenhuma votação
1069,"74216, 74344, 74465, 74537, 74588",5373,Nenhuma votação
1113,"73435, 73446, 74240, 74364, 74419, 74453, 74462, 74477, 74585, 74678, 74779",5293,35651-2
1115,"73435, 73446, 74240, 74419, 74462, 74477, 74585, 74678, 74779",5293,Nenhuma votação
2747,"73469, 73471, 73487, 73490, 73777, 73783, 73795, 74024, 74084, 74350, 74352, 74357, 74364, 74455, 74565, 74590, 74592, 74691, 74797, 74841",537590,Nenhuma votação
2748,"73454, 73768, 73783, 73795, 74357, 74364, 74590, 74797",537590,Nenhuma votação
2749,"73471, 73768, 73783, 73795, 74136, 74238, 74350, 74357, 74417, 74455, 74537, 74567, 74590, 74691, 74797",537590,Nenhuma votação
2750,"73454, 73471, 73768, 73783, 73795, 74075, 74238, 74352, 74357, 74364, 74455, 74466, 74565, 74567, 74590, 74668, 74797, 74841",537590,Nenhuma votação
10323,"73475, 73487, 73532, 73888, 73896, 74199, 74404",180,Nenhuma votação
10324,"73475, 73487, 73532, 73888, 73896, 74192, 74404",180,Nenhuma votação
10325,"73475, 73487, 73532, 73888, 73896, 74192, 74404",180,Nenhuma votação
10326,"73475, 73487, 73532, 73888, 73896, 74404",180,Nenhuma votação
10327,"73475, 73888, 73896, 74199, 74404",180,Nenhuma votação
10328,"73475, 73888, 73896, 74404",180,Nenhuma votação
10329,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10330,"73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
1070,"74216, 74537, 74588, 74675, 74684, 74848",5373,Nenhuma votação
1071,"73459, 73587, 73795, 73982, 74111, 74216, 74329, 74344, 74465, 74476, 74529, 74537, 74547, 74588, 74675, 74680, 74684, 74685, 74756, 74848",5373,Nenhuma votação
1074,"73431, 73459, 73587, 73982, 74090, 74216, 74329, 74344, 74465, 74537, 74588, 74684, 74756, 74848",5373,Nenhuma votação
1076,"73466, 74344, 74465, 74537, 74848",5373,Nenhuma votação
